	Sub.5_F1	Sub.5_F2	Sub.5_F3	Sub.5_S2	Sub.5_S1	Sub.6_F1	Sub.6_F2	Sub.6_F3	Sub.6_S2	Sub.6_S1	Sub.7_F1	Sub.7_F2	Sub.7_F3	Sub.7_S2	Sub.7_S1	Sub.8_F1	Sub.8_F2	Sub.8_F3	Sub.8_S2	Sub.8_S1	Sub.1_F1	Sub.1_F2	Sub.1_F3	Sub.1_S2	Sub.1_S1	Sub.2_F1	Sub.2_F2	Sub.2_F3	Sub.2_S2	Sub.2_S1	Sub.3_F1	Sub.3_F2	Sub.3_F3	Sub.3_S2	Sub.3_S1	Sub.4_F1	Sub.4_F2	Sub.4_F3	Sub.4_S2	Sub.4_S1
g__Sporobacter	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Staphylococcus	0	0	0	0	0	0	0	0	0	0	0	1	13	1	0	9	11	10	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0
g__Stenotrophomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Streptococcus	0	0	0	41	104	0	0	0	56	151	0	0	0	92	60	0	0	0	10	55	0	0	0	1845	4467	0	0	0	324	1634	0	1	1	852	3473	0	0	1	264	957
g__Subdoligranulum	0	0	0	0	0	0	1	0	1	0	0	0	0	262	167	0	1	1	9	79	0	0	0	0	3	147	64	158	288	1245	0	0	0	2	2	0	0	0	0	0
g__Succiniclasticum	102	124	107	35	125	0	0	0	0	0	0	0	0	0	0	0	0	1	82	278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Sutterella	149	274	93	1	0	0	0	0	0	0	110	346	64	112	44	78	143	107	6	0	0	0	0	0	0	1048	241	848	12	81	811	684	631	9	40	2	0	0	0	0
g__Synergistes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Syntrophomonas	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Turicibacter	227	1180	230	13	12	1	0	2	1	4	0	0	0	0	0	0	0	0	13	109	0	0	0	4	4	0	2	1	307	2531	0	0	0	2	47	0	0	0	2	0
g__unclassified	1878	3499	1764	1796	4110	1684	1382	1228	1061	2371	1470	2280	1001	22118	16949	4378	10778	7786	1411	7837	3513	3640	1980	5279	26113	7201	4253	9318	10146	50943	4579	3683	3336	3425	17931	3131	12351	21882	1137	4997
g__Varibaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Veillonella	0	0	0	1	0	0	0	0	0	2	0	0	0	7	2	0	0	0	0	0	0	0	0	3	3	0	0	0	0	1	0	0	0	5	28	0	0	0	0	0
g__Victivallis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__WAL_1855D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0
g__Weissella	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__YRC22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
